id,HoraFecha,t
188,01:10:47 31/3/2022,27
189,01:17:26 31/3/2022,27
190,01:24:04 31/3/2022,27
191,01:30:42 31/3/2022,27
192,01:37:23 31/3/2022,27
193,01:44:01 31/3/2022,27
194,01:50:42 31/3/2022,27
195,01:57:22 31/3/2022,27
196,02:04:07 31/3/2022,27
197,02:10:50 31/3/2022,27
198,02:17:30 31/3/2022,27
199,02:24:19 31/3/2022,27
200,02:30:57 31/3/2022,27
201,02:38:02 31/3/2022,27
202,02:44:40 31/3/2022,27
203,02:51:24 31/3/2022,26
204,02:58:05 31/3/2022,27
205,03:04:44 31/3/2022,26
206,03:11:25 31/3/2022,27
207,03:18:02 31/3/2022,27
208,03:24:40 31/3/2022,26
209,03:31:22 31/3/2022,26
210,03:38:09 31/3/2022,26
211,03:44:50 31/3/2022,26
212,03:51:32 31/3/2022,26
213,03:58:09 31/3/2022,26
214,04:04:48 31/3/2022,26
215,04:11:26 31/3/2022,26
216,04:18:04 31/3/2022,26
217,04:24:40 31/3/2022,26
218,04:31:21 31/3/2022,26
219,04:37:58 31/3/2022,26
220,04:44:35 31/3/2022,26
221,04:51:13 31/3/2022,26
222,04:57:52 31/3/2022,26
223,05:04:30 31/3/2022,26
224,05:11:10 31/3/2022,26
225,05:17:47 31/3/2022,26
226,05:24:31 31/3/2022,26
227,05:31:11 31/3/2022,26
228,05:37:54 31/3/2022,26
229,05:44:43 31/3/2022,26
230,05:51:32 31/3/2022,26
231,05:58:18 31/3/2022,26
232,06:04:58 31/3/2022,26
233,06:11:38 31/3/2022,26
234,06:18:19 31/3/2022,26
235,06:24:59 31/3/2022,26
236,06:31:37 31/3/2022,26
237,06:38:17 31/3/2022,26
238,06:44:56 31/3/2022,26
239,06:51:35 31/3/2022,26
240,06:58:12 31/3/2022,27
241,07:04:50 31/3/2022,27
242,07:11:28 31/3/2022,27
243,07:18:07 31/3/2022,27
244,07:24:45 31/3/2022,27
245,07:31:16 31/3/2022,27
246,07:37:45 31/3/2022,27
247,07:45:33 31/3/2022,27
248,07:49:13 31/3/2022,27
249,07:57:20 31/3/2022,27
250,08:05:39 31/3/2022,27
251,08:12:22 31/3/2022,27
252,08:19:04 31/3/2022,27
253,08:25:49 31/3/2022,27
254,08:32:33 31/3/2022,27
255,08:39:17 31/3/2022,27
256,08:46:06 31/3/2022,27
257,08:52:51 31/3/2022,27
258,08:59:33 31/3/2022,27
259,09:06:20 31/3/2022,27
260,09:13:04 31/3/2022,28
261,09:19:51 31/3/2022,28
262,09:26:34 31/3/2022,28
263,09:33:15 31/3/2022,28
264,09:39:57 31/3/2022,28
265,09:46:41 31/3/2022,28
266,09:53:25 31/3/2022,28
267,10:00:08 31/3/2022,28
268,10:06:55 31/3/2022,28
269,10:13:37 31/3/2022,28
270,10:20:19 31/3/2022,28
271,10:27:06 31/3/2022,28
272,10:33:53 31/3/2022,28
273,10:40:41 31/3/2022,28
274,10:47:23 31/3/2022,28
275,10:54:05 31/3/2022,28
276,11:02:54 31/3/2022,34
277,11:10:45 31/3/2022,33
278,11:17:16 31/3/2022,33
279,11:23:54 31/3/2022,33
280,11:30:33 31/3/2022,33
281,11:37:10 31/3/2022,34
282,11:43:47 31/3/2022,34
283,11:50:25 31/3/2022,33
284,11:56:55 31/3/2022,33
285,12:03:26 31/3/2022,33
286,12:09:57 31/3/2022,33
287,12:16:35 31/3/2022,33
288,12:23:11 31/3/2022,33
289,12:29:37 31/3/2022,33
290,12:36:08 31/3/2022,33
291,12:42:39 31/3/2022,33
292,12:49:10 31/3/2022,33
293,12:55:35 31/3/2022,33
294,13:02:01 31/3/2022,33
295,13:08:27 31/3/2022,32
296,13:14:52 31/3/2022,33
297,13:21:23 31/3/2022,33
298,13:27:49 31/3/2022,33
299,13:34:20 31/3/2022,34
300,13:40:57 31/3/2022,34
301,13:47:29 31/3/2022,33
302,13:54:06 31/3/2022,33
303,14:00:37 31/3/2022,32
304,14:07:14 31/3/2022,32
305,14:13:51 31/3/2022,32
306,14:20:23 31/3/2022,32
307,14:27:00 31/3/2022,32
308,14:34:41 31/3/2022,32
309,14:41:12 31/3/2022,32
310,14:47:43 31/3/2022,33
311,14:54:20 31/3/2022,32
312,15:00:51 31/3/2022,33
313,15:07:29 31/3/2022,33
314,15:14:00 31/3/2022,32
315,15:20:37 31/3/2022,32
316,15:27:08 31/3/2022,32
317,15:33:45 31/3/2022,32
318,15:40:22 31/3/2022,33
319,15:47:00 31/3/2022,32
320,15:53:37 31/3/2022,32
321,16:00:15 31/3/2022,31
322,16:06:52 31/3/2022,31
323,16:13:30 31/3/2022,31
324,16:20:01 31/3/2022,31
325,16:26:41 31/3/2022,31
326,16:33:06 31/3/2022,31
327,16:39:44 31/3/2022,30
328,16:46:16 31/3/2022,30
329,16:52:54 31/3/2022,30
330,16:59:32 31/3/2022,30
331,17:06:04 31/3/2022,30
332,17:12:35 31/3/2022,30
333,17:19:06 31/3/2022,29
334,17:25:37 31/3/2022,29
335,17:32:15 31/3/2022,28
336,17:38:53 31/3/2022,28
337,17:45:32 31/3/2022,27
338,17:52:10 31/3/2022,27
339,17:58:49 31/3/2022,27
340,18:05:27 31/3/2022,27
341,18:12:05 31/3/2022,26
342,18:18:43 31/3/2022,26
343,18:26:25 31/3/2022,26
344,18:33:04 31/3/2022,26
345,18:39:43 31/3/2022,26
346,18:46:22 31/3/2022,26
347,18:53:02 31/3/2022,26
348,18:59:41 31/3/2022,26
349,19:06:19 31/3/2022,26
350,19:12:58 31/3/2022,26
351,19:19:37 31/3/2022,26
352,19:26:17 31/3/2022,26
353,19:32:56 31/3/2022,26
354,19:39:35 31/3/2022,26
355,19:46:15 31/3/2022,26
356,19:52:53 31/3/2022,26
357,19:59:32 31/3/2022,26
358,20:06:11 31/3/2022,26
359,20:12:52 31/3/2022,26
360,20:19:31 31/3/2022,26
361,20:26:10 31/3/2022,25
362,20:32:50 31/3/2022,25
363,20:39:30 31/3/2022,25
364,20:46:09 31/3/2022,25
365,20:52:48 31/3/2022,25
366,20:59:28 31/3/2022,26
367,21:04:25 31/3/2022,25
368,21:11:04 31/3/2022,25
369,21:19:21 31/3/2022,25
370,21:25:59 31/3/2022,25
371,21:32:37 31/3/2022,25
372,21:39:16 31/3/2022,25
373,21:45:59 31/3/2022,24
374,21:52:42 31/3/2022,25
375,21:59:25 31/3/2022,24
376,22:06:06 31/3/2022,24
377,22:12:45 31/3/2022,25
378,22:19:24 31/3/2022,25
379,22:26:04 31/3/2022,25
380,22:32:44 31/3/2022,24
381,22:39:23 31/3/2022,24
382,22:46:07 31/3/2022,24
383,22:52:46 31/3/2022,24
384,22:59:26 31/3/2022,24
385,23:06:05 31/3/2022,24
386,23:12:44 31/3/2022,24
387,23:19:26 31/3/2022,24
388,23:26:05 31/3/2022,24
389,23:32:50 31/3/2022,24
390,23:39:30 31/3/2022,24
391,23:46:10 31/3/2022,24
392,23:52:49 31/3/2022,24
393,23:59:28 31/3/2022,24
394,00:06:15 1/4/2022,24
395,00:12:59 1/4/2022,24
396,00:19:54 1/4/2022,24
397,00:26:34 1/4/2022,24
398,00:33:12 1/4/2022,24
399,00:39:52 1/4/2022,24
400,00:46:32 1/4/2022,24
401,00:53:12 1/4/2022,24
402,00:59:51 1/4/2022,24
403,01:06:31 1/4/2022,24
404,01:13:09 1/4/2022,24
405,01:19:49 1/4/2022,24
406,01:26:29 1/4/2022,24
407,01:33:08 1/4/2022,24
408,01:39:47 1/4/2022,24
409,01:46:26 1/4/2022,24
410,01:53:05 1/4/2022,24
411,01:59:44 1/4/2022,24
412,02:06:24 1/4/2022,23
413,02:13:04 1/4/2022,23
414,02:19:58 1/4/2022,23
415,02:26:46 1/4/2022,23
416,02:33:36 1/4/2022,23
417,02:40:35 1/4/2022,23
418,02:47:23 1/4/2022,23
419,02:54:15 1/4/2022,23
420,03:00:54 1/4/2022,23
421,03:07:34 1/4/2022,23
422,03:14:12 1/4/2022,23
423,03:20:52 1/4/2022,23
424,03:27:48 1/4/2022,23
425,03:34:45 1/4/2022,23
426,03:41:27 1/4/2022,23
427,03:48:41 1/4/2022,23
428,03:55:35 1/4/2022,23
429,04:02:17 1/4/2022,23
430,04:09:01 1/4/2022,23
431,04:15:44 1/4/2022,23
432,04:22:36 1/4/2022,23
433,04:29:26 1/4/2022,23
434,04:36:10 1/4/2022,23
435,04:42:53 1/4/2022,23
436,04:49:33 1/4/2022,23
437,04:56:11 1/4/2022,23
438,05:02:50 1/4/2022,23
439,05:09:29 1/4/2022,23
440,05:16:08 1/4/2022,23
441,05:22:47 1/4/2022,23
442,05:29:25 1/4/2022,23
443,05:36:05 1/4/2022,23
444,05:42:44 1/4/2022,23
445,05:49:23 1/4/2022,23
446,05:56:06 1/4/2022,23
447,06:02:45 1/4/2022,23
448,06:09:29 1/4/2022,23
449,06:16:12 1/4/2022,23
450,06:22:55 1/4/2022,23
451,06:29:36 1/4/2022,23
452,06:36:14 1/4/2022,23
453,06:42:53 1/4/2022,23
454,06:49:33 1/4/2022,24
455,06:56:11 1/4/2022,24
456,07:02:51 1/4/2022,24
457,07:09:30 1/4/2022,24
458,07:16:11 1/4/2022,24
459,07:22:37 1/4/2022,24
460,07:29:04 1/4/2022,24
461,07:35:31 1/4/2022,24
462,07:41:57 1/4/2022,24
463,07:48:29 1/4/2022,25
464,07:54:55 1/4/2022,25
465,08:01:23 1/4/2022,25
466,08:08:02 1/4/2022,25
467,08:14:44 1/4/2022,25
468,08:21:09 1/4/2022,26
469,08:27:36 1/4/2022,26
470,08:34:08 1/4/2022,26
471,08:40:35 1/4/2022,27
472,08:47:00 1/4/2022,27
473,08:53:28 1/4/2022,27
474,09:00:01 1/4/2022,27
475,09:06:36 1/4/2022,27
476,09:13:03 1/4/2022,28
477,09:19:43 1/4/2022,27
478,09:26:23 1/4/2022,27
479,09:32:58 1/4/2022,27
480,09:39:33 1/4/2022,28
481,09:46:06 1/4/2022,28
482,09:52:45 1/4/2022,28
483,09:59:24 1/4/2022,29
484,10:06:03 1/4/2022,28
485,10:12:44 1/4/2022,28
486,10:19:23 1/4/2022,29
487,10:26:04 1/4/2022,30
488,10:32:48 1/4/2022,30
489,10:39:30 1/4/2022,30
490,10:46:11 1/4/2022,30
491,10:52:53 1/4/2022,31
492,10:59:33 1/4/2022,30
493,11:06:12 1/4/2022,31
494,11:12:53 1/4/2022,31
495,11:19:33 1/4/2022,31
496,11:26:19 1/4/2022,31
497,11:32:59 1/4/2022,32
498,11:39:38 1/4/2022,32
499,11:43:17 1/4/2022,32
500,11:51:45 1/4/2022,33
501,11:58:28 1/4/2022,33
502,01:33:54 7/2/2106,33
503,13:11:18 1/4/2022,33
504,13:18:05 1/4/2022,32
505,13:24:50 1/4/2022,32
506,13:31:30 1/4/2022,32
507,13:38:13 1/4/2022,31
508,13:44:53 1/4/2022,32
509,13:48:39 1/4/2022,32
510,13:56:59 1/4/2022,31
511,14:03:39 1/4/2022,31
512,14:11:27 1/4/2022,32
513,14:18:06 1/4/2022,33
514,14:24:49 1/4/2022,32
515,14:31:29 1/4/2022,33
516,14:38:10 1/4/2022,33
517,14:44:52 1/4/2022,32
518,14:51:36 1/4/2022,32
519,14:58:16 1/4/2022,32
520,15:04:57 1/4/2022,32
521,15:11:37 1/4/2022,32
522,15:18:17 1/4/2022,32
523,15:25:03 1/4/2022,32
524,15:32:53 1/4/2022,32
525,15:39:39 1/4/2022,32
526,15:46:24 1/4/2022,32
527,15:53:12 1/4/2022,32
528,16:00:07 1/4/2022,32
529,16:06:55 1/4/2022,31
530,16:13:40 1/4/2022,31
531,16:20:23 1/4/2022,32
532,16:27:09 1/4/2022,31
533,16:30:54 1/4/2022,31
534,16:40:16 1/4/2022,32
535,16:44:23 1/4/2022,32
536,16:53:24 1/4/2022,32
537,17:00:20 1/4/2022,31
538,17:07:15 1/4/2022,31
539,17:14:00 1/4/2022,31
540,17:20:52 1/4/2022,31
541,17:27:33 1/4/2022,31
542,17:34:24 1/4/2022,31
543,17:41:16 1/4/2022,31
544,17:48:03 1/4/2022,30
545,17:54:45 1/4/2022,30
546,18:01:28 1/4/2022,30
547,18:08:11 1/4/2022,30
548,18:15:01 1/4/2022,30
549,18:21:45 1/4/2022,29
550,18:28:31 1/4/2022,29
551,18:36:43 1/4/2022,28
552,18:44:24 1/4/2022,28
553,18:51:27 1/4/2022,28
554,18:58:15 1/4/2022,28
555,19:05:19 1/4/2022,28
556,19:12:17 1/4/2022,28
557,19:19:02 1/4/2022,28
558,19:25:50 1/4/2022,28
559,19:32:51 1/4/2022,28
560,19:39:52 1/4/2022,28
561,19:46:58 1/4/2022,28
562,19:53:51 1/4/2022,28
563,20:00:49 1/4/2022,28
564,20:07:56 1/4/2022,28
565,20:15:09 1/4/2022,28
566,20:22:16 1/4/2022,27
567,20:29:39 1/4/2022,27
568,20:36:48 1/4/2022,27
569,20:44:24 1/4/2022,27
570,20:51:47 1/4/2022,27
571,20:59:17 1/4/2022,27
572,21:06:18 1/4/2022,27
573,21:13:28 1/4/2022,27
574,21:18:51 1/4/2022,27
575,21:27:55 1/4/2022,27
576,21:34:47 1/4/2022,27
577,21:41:36 1/4/2022,27
578,21:48:29 1/4/2022,27
579,21:55:21 1/4/2022,27
580,22:02:22 1/4/2022,27
581,22:09:35 1/4/2022,27
582,22:16:38 1/4/2022,27
583,22:24:10 1/4/2022,27
584,22:31:21 1/4/2022,27
585,22:38:25 1/4/2022,27
586,22:45:23 1/4/2022,27
587,22:52:26 1/4/2022,27
588,22:59:36 1/4/2022,26
589,23:06:35 1/4/2022,26
590,23:13:29 1/4/2022,26
591,23:20:40 1/4/2022,26
592,23:27:43 1/4/2022,26
593,23:34:57 1/4/2022,26
594,23:42:11 1/4/2022,26
595,23:49:21 1/4/2022,26
596,23:56:42 1/4/2022,26
597,00:03:57 2/4/2022,26
598,00:11:14 2/4/2022,26
599,00:18:23 2/4/2022,26
600,00:25:38 2/4/2022,26
601,00:33:09 2/4/2022,26
602,00:40:24 2/4/2022,26
603,00:47:31 2/4/2022,26
604,00:54:59 2/4/2022,26
605,01:02:18 2/4/2022,25
606,01:09:44 2/4/2022,25
