id,HoraFecha,h
188,01:11:12 31/3/2022,95
189,01:17:51 31/3/2022,95
190,01:24:29 31/3/2022,95
191,01:31:07 31/3/2022,95
192,01:37:48 31/3/2022,95
193,01:44:26 31/3/2022,95
194,01:51:07 31/3/2022,95
195,01:57:47 31/3/2022,95
196,02:04:32 31/3/2022,95
197,02:11:15 31/3/2022,95
198,02:17:55 31/3/2022,95
199,02:24:44 31/3/2022,95
200,02:31:22 31/3/2022,95
201,02:38:27 31/3/2022,95
202,02:45:05 31/3/2022,95
203,02:51:49 31/3/2022,95
204,02:58:30 31/3/2022,95
205,03:05:11 31/3/2022,95
206,03:11:50 31/3/2022,95
207,03:18:27 31/3/2022,95
208,03:25:05 31/3/2022,95
209,03:31:47 31/3/2022,95
210,03:38:34 31/3/2022,95
211,03:45:16 31/3/2022,95
212,03:51:57 31/3/2022,95
213,03:58:34 31/3/2022,95
214,04:05:12 31/3/2022,95
215,04:11:50 31/3/2022,95
216,04:18:29 31/3/2022,95
217,04:25:05 31/3/2022,95
218,04:31:46 31/3/2022,95
219,04:38:23 31/3/2022,95
220,04:45:00 31/3/2022,95
221,04:51:38 31/3/2022,95
222,04:58:17 31/3/2022,95
223,05:04:55 31/3/2022,95
224,05:11:35 31/3/2022,95
225,05:18:12 31/3/2022,95
226,05:24:56 31/3/2022,95
227,05:31:36 31/3/2022,95
228,05:38:19 31/3/2022,95
229,05:45:09 31/3/2022,95
230,05:51:58 31/3/2022,95
231,05:58:43 31/3/2022,95
232,06:05:23 31/3/2022,95
233,06:12:03 31/3/2022,95
234,06:18:44 31/3/2022,95
235,06:25:24 31/3/2022,95
236,06:32:02 31/3/2022,95
237,06:38:42 31/3/2022,95
238,06:45:21 31/3/2022,95
239,06:52:00 31/3/2022,95
240,06:58:37 31/3/2022,95
241,07:05:14 31/3/2022,95
242,07:11:53 31/3/2022,95
243,07:18:31 31/3/2022,95
244,07:25:10 31/3/2022,95
245,07:31:41 31/3/2022,95
246,07:38:09 31/3/2022,95
247,07:45:58 31/3/2022,95
248,07:49:38 31/3/2022,95
249,07:57:45 31/3/2022,95
250,08:06:04 31/3/2022,95
251,08:12:47 31/3/2022,95
252,08:19:29 31/3/2022,95
253,08:26:13 31/3/2022,95
254,08:32:58 31/3/2022,95
255,08:39:42 31/3/2022,95
256,08:46:33 31/3/2022,95
257,08:53:15 31/3/2022,95
258,08:59:58 31/3/2022,95
259,09:06:45 31/3/2022,95
260,09:13:30 31/3/2022,95
261,09:20:16 31/3/2022,95
262,09:26:58 31/3/2022,94
263,09:33:41 31/3/2022,95
264,09:40:23 31/3/2022,94
265,09:47:07 31/3/2022,94
266,09:53:51 31/3/2022,92
267,10:00:33 31/3/2022,92
268,10:07:20 31/3/2022,90
269,10:14:02 31/3/2022,92
270,10:20:44 31/3/2022,93
271,10:27:31 31/3/2022,93
272,10:34:18 31/3/2022,89
273,10:41:06 31/3/2022,88
274,10:47:48 31/3/2022,88
275,10:54:30 31/3/2022,88
276,11:03:20 31/3/2022,62
277,11:11:09 31/3/2022,63
278,11:17:41 31/3/2022,65
279,11:24:19 31/3/2022,66
280,11:30:58 31/3/2022,63
