id,HoraFecha,h2
188,01:11:37 31/3/2022,74
189,01:18:16 31/3/2022,75
190,01:24:54 31/3/2022,75
191,01:31:32 31/3/2022,75
192,01:38:12 31/3/2022,75
193,01:44:50 31/3/2022,75
194,01:51:31 31/3/2022,74
195,01:58:13 31/3/2022,73
196,02:04:57 31/3/2022,74
197,02:11:40 31/3/2022,74
198,02:18:20 31/3/2022,73
199,02:25:09 31/3/2022,73
200,02:31:47 31/3/2022,74
201,02:38:52 31/3/2022,74
202,02:45:29 31/3/2022,74
203,02:52:15 31/3/2022,74
204,02:58:55 31/3/2022,74
205,03:05:36 31/3/2022,75
206,03:12:15 31/3/2022,75
207,03:18:52 31/3/2022,74
208,03:25:30 31/3/2022,74
209,03:32:12 31/3/2022,74
210,03:38:58 31/3/2022,75
211,03:45:41 31/3/2022,75
212,03:52:21 31/3/2022,75
213,03:58:59 31/3/2022,75
214,04:05:37 31/3/2022,73
215,04:12:15 31/3/2022,75
216,04:18:53 31/3/2022,75
217,04:25:30 31/3/2022,75
218,04:32:11 31/3/2022,74
219,04:38:48 31/3/2022,74
220,04:45:24 31/3/2022,75
221,04:52:02 31/3/2022,75
222,04:58:42 31/3/2022,75
223,05:05:20 31/3/2022,75
224,05:12:00 31/3/2022,75
225,05:18:37 31/3/2022,75
226,05:25:22 31/3/2022,75
227,05:32:01 31/3/2022,75
228,05:38:45 31/3/2022,75
229,05:45:34 31/3/2022,76
230,05:52:23 31/3/2022,75
231,05:59:08 31/3/2022,76
232,06:05:49 31/3/2022,75
233,06:12:28 31/3/2022,75
234,06:19:08 31/3/2022,75
235,06:25:49 31/3/2022,75
236,06:32:27 31/3/2022,75
237,06:39:06 31/3/2022,75
238,06:45:46 31/3/2022,75
239,06:52:24 31/3/2022,75
240,06:59:02 31/3/2022,75
241,07:05:39 31/3/2022,75
242,07:12:19 31/3/2022,75
243,07:18:56 31/3/2022,75
244,07:25:35 31/3/2022,75
245,07:32:06 31/3/2022,46
246,07:38:34 31/3/2022,46
247,07:46:25 31/3/2022,43
248,07:50:03 31/3/2022,48
249,07:58:10 31/3/2022,74
250,08:06:29 31/3/2022,75
251,08:13:13 31/3/2022,75
252,08:19:54 31/3/2022,75
253,08:26:38 31/3/2022,75
254,08:33:23 31/3/2022,75
255,08:40:07 31/3/2022,75
256,08:46:59 31/3/2022,75
257,08:53:40 31/3/2022,75
258,09:00:24 31/3/2022,75
259,09:07:10 31/3/2022,75
260,09:13:55 31/3/2022,74
261,09:20:42 31/3/2022,75
262,09:27:23 31/3/2022,75
263,09:34:07 31/3/2022,75
264,09:40:49 31/3/2022,74
