id,HoraFecha,h2
188,01:12:02 31/3/2022,29
189,01:18:41 31/3/2022,28
190,01:25:19 31/3/2022,28
191,01:31:57 31/3/2022,29
192,01:38:37 31/3/2022,28
193,01:45:15 31/3/2022,27
194,01:51:57 31/3/2022,26
195,01:58:38 31/3/2022,26
196,02:05:22 31/3/2022,25
197,02:12:06 31/3/2022,26
198,02:18:45 31/3/2022,26
199,02:25:34 31/3/2022,26
200,02:32:12 31/3/2022,26
201,02:39:17 31/3/2022,25
202,02:45:54 31/3/2022,26
203,02:52:39 31/3/2022,26
204,02:59:19 31/3/2022,26
205,03:06:02 31/3/2022,26
206,03:12:40 31/3/2022,27
207,03:19:16 31/3/2022,27
208,03:25:56 31/3/2022,28
209,03:32:37 31/3/2022,29
210,03:39:25 31/3/2022,29
211,03:46:05 31/3/2022,29
212,03:52:46 31/3/2022,27
213,03:59:24 31/3/2022,27
214,04:06:02 31/3/2022,28
215,04:12:40 31/3/2022,29
216,04:19:18 31/3/2022,30
217,04:25:55 31/3/2022,31
218,04:32:35 31/3/2022,31
219,04:39:13 31/3/2022,30
220,04:45:49 31/3/2022,35
221,04:52:27 31/3/2022,36
222,04:59:06 31/3/2022,35
223,05:05:44 31/3/2022,36
224,05:12:25 31/3/2022,35
225,05:19:02 31/3/2022,40
226,05:25:47 31/3/2022,42
227,05:32:26 31/3/2022,43
228,05:39:10 31/3/2022,45
229,05:46:00 31/3/2022,46
230,05:52:48 31/3/2022,50
231,05:59:32 31/3/2022,53
232,06:06:14 31/3/2022,55
233,06:12:54 31/3/2022,58
234,06:19:33 31/3/2022,59
235,06:26:14 31/3/2022,59
236,06:32:52 31/3/2022,58
237,06:39:31 31/3/2022,60
238,06:46:11 31/3/2022,59
239,06:52:49 31/3/2022,59
240,06:59:27 31/3/2022,59
241,07:06:04 31/3/2022,60
242,07:12:44 31/3/2022,60
243,07:19:21 31/3/2022,61
244,07:26:00 31/3/2022,62
245,07:32:31 31/3/2022,61
246,07:38:59 31/3/2022,63
247,07:46:51 31/3/2022,65
248,07:50:28 31/3/2022,64
249,07:58:35 31/3/2022,66
250,08:06:55 31/3/2022,69
251,08:13:38 31/3/2022,69
252,08:20:18 31/3/2022,70
253,08:27:03 31/3/2022,71
254,08:33:49 31/3/2022,72
255,08:40:33 31/3/2022,71
256,08:47:24 31/3/2022,73
257,08:54:05 31/3/2022,75
258,09:00:49 31/3/2022,76
259,09:07:36 31/3/2022,76
260,09:14:20 31/3/2022,77
261,09:21:07 31/3/2022,78
262,09:27:48 31/3/2022,79
263,09:34:32 31/3/2022,80
264,09:41:14 31/3/2022,80
265,09:47:59 31/3/2022,81
266,09:54:41 31/3/2022,80
267,10:01:24 31/3/2022,82
268,10:08:10 31/3/2022,83
269,10:14:54 31/3/2022,82
270,10:21:33 31/3/2022,84
271,10:28:21 31/3/2022,85
272,10:35:09 31/3/2022,85
273,10:41:56 31/3/2022,87
274,10:48:39 31/3/2022,89
275,11:04:09 31/3/2022,94
276,11:11:59 31/3/2022,95
277,11:18:31 31/3/2022,97
278,11:25:09 31/3/2022,98
279,11:31:47 31/3/2022,98
280,11:38:24 31/3/2022,98
281,11:45:01 31/3/2022,98
282,11:51:39 31/3/2022,98
283,11:58:10 31/3/2022,97
284,12:04:40 31/3/2022,98
285,12:11:12 31/3/2022,98
286,12:17:49 31/3/2022,98
287,12:24:26 31/3/2022,98
288,12:30:52 31/3/2022,98
289,12:37:22 31/3/2022,98
290,12:43:54 31/3/2022,98
291,12:50:25 31/3/2022,98
292,12:56:50 31/3/2022,98
293,13:03:15 31/3/2022,98
294,13:09:42 31/3/2022,98
295,13:16:07 31/3/2022,98
296,13:22:37 31/3/2022,98
297,13:29:03 31/3/2022,98
298,13:35:35 31/3/2022,98
299,13:42:11 31/3/2022,98
300,13:48:43 31/3/2022,97
301,13:55:21 31/3/2022,97
302,14:01:51 31/3/2022,97
303,14:08:29 31/3/2022,97
304,14:15:06 31/3/2022,97
305,14:21:37 31/3/2022,97
306,14:28:15 31/3/2022,97
307,14:35:55 31/3/2022,98
308,14:42:26 31/3/2022,98
309,14:48:58 31/3/2022,98
310,14:55:34 31/3/2022,98
311,15:02:06 31/3/2022,98
312,15:08:44 31/3/2022,98
313,15:15:14 31/3/2022,98
314,15:21:51 31/3/2022,97
315,15:28:22 31/3/2022,97
316,15:35:00 31/3/2022,97
317,15:41:37 31/3/2022,98
318,15:48:15 31/3/2022,97
319,15:54:52 31/3/2022,97
320,16:01:29 31/3/2022,97
321,16:08:07 31/3/2022,97
322,16:14:44 31/3/2022,97
